object_name;tdt;ra;dec;full_classifier;group;subgroup;uncertainty_flag;note;
W Cet;37802225;00 02 07.70;-14 40 35.9;2.SEa:;2;SEa;1;;
SV And;42801007;00 04 20.00;+40 06 37.2;2.SEa:;2;SEa;1;;
SV And;80800708;00 04 20.00;+40 06 37.2;2.SEa;2;SEa;;;
CIT 1;78201008;00 06 52.30;+43 04 36.0;7;7;;;W;
HR 10;37802001;00 07 18.20;-17 23 13.2;1.NM:;1;NM;1;;
{beta} Cas;28501420;00 09 10.47;+59 08 59.8;1.N;1;N;;;
V633 Cas;43501514;00 11 26.60;+58 50 04.0;5.SE;5;SE;;W;
NGC 40;44401917;00 13 00.91;+72 31 20.0;4.PN;4;PN;;;
NGC 40;30003803;00 13 01.10;+72 31 19.1;4.PN;4;PN;;;
HR 48;55502138;00 14 38.40;-18 55 58.4;1.NO;1;NO;;;
S Scl;73500129;00 15 22.18;-32 02 43.4;2.SEb;2;SEb;;;
S Scl;37102018;00 15 22.19;-32 02 44.0;2.SEb;2;SEb;;;
IRAS 00127+5437;39902101;00 15 24.13;+54 54 15.4;4.SE::;4;SE;2;;
VX And;42801502;00 19 54.10;+44 42 35.0;2.CE;2;CE;;;
T Cet;55502308;00 21 46.03;-20 03 30.8;2.SEa;2;SEa;;;
T Cet;37801819;00 21 46.58;-20 03 28.0;2.SEa;2;SEa;;F;
RAFGL 5017;54900858;00 21 48.00;-40 17 13.0;4.SEC:;4;SEC;1;;
T Cas;40201208;00 23 14.25;+55 47 33.7;2.SEa;2;SEa;;;
IRAS 00210+6221;40401901;00 23 51.20;+62 38 07.0;4.CR;4;CR;;;
IRAS 00211+6549;44402001;00 23 58.00;+66 06 03.2;5.F:;5;F;1;;
R And;40201723;00 24 02.00;+38 34 37.0;2.SEc;2;SEc;;;
47 Tuc;74803701;00 24 05.10;-72 04 50.5;7;7;;;R;
Off-{beta}Hyi;17900204;00 25 42.85;-77 15 17.2;7;7;;;;
{beta} Hyi;85000604;00 25 44.09;-77 15 16.6;1.N;1;N;;;
Off-{beta}Hyi;9200604;00 25 47.34;-77 15 17.3;7;7;;;F;
{kappa} Phe;23200502;00 26 12.16;-43 40 49.1;1.NM:;1;NM;1;;
VX Cas;42701004;00 31 20.00;+62 00 00.0;7;7;;;W;
RNO 1B;28500902;00 36 46.26;+63 28 54.4;5.F;5;F;;;
M 31;40001501;00 42 46.01;+41 16 11.9;7;7;;;G;
WR 1;42500402;00 43 28.40;+64 45 44.5;7;7;;;;
Off-WR1;42500403;00 43 28.40;+64 47 44.5;7e:;7;e;1;;
EG And;57702107;00 44 37.00;+40 40 46.3;1.NO;1;NO;;;
NGC 261;66300214;00 46 32.16;-73 06 03.5;7;7;;;G;
RW And;42301901;00 47 18.20;+32 40 58.8;7;7;;;R:;
NGC 253;24701422;00 47 33.20;-25 17 17.2;5.UE;5;UE;;G;
{[RLB93]} SMC-B2;11701107;00 48 07.80;-73 15 14.0;7;7;;;G;
{[RLB93]} SMC-B2;54701810;00 48 07.80;-73 15 14.0;7;7;;;G;
{delta} Psc;39502401;00 48 40.88;+07 35 06.2;1.NO;1;NO;;;
IRAS 00477-7343;36000902;00 49 30.77;-73 26 50.2;7;7;;;G;
VY Cas;78201606;00 51 26.11;+62 55 14.0;2.SEb;2;SEb;;;
VY Cas;41602501;00 51 26.11;+62 55 14.9;2.SEb;2;SEb;;;
S 184 -14.13, -2 39.8;40201616;00 52 09.78;+56 31 05.8;6;6;;;Offset;
S 184;40201615;00 52 23.91;+56 33 45.6;5.F;5;F;;(0,0);
S 184 +25.44, +3 52.6;40201614;00 52 49.35;+56 37 38.2;6;6;;;Offset;
IRAS 00521-7054;17101907;00 53 56.30;-70 38 07.0;7;7;;;G;
IRAS 00521-7054;17102008;00 53 56.30;-70 38 07.0;7;7;;;G;
S 184 +1 50.79, -22.8;40201617;00 54 14.70;+56 33 22.8;7;7;;;Offset, R:;
W Cas;42301226;00 54 53.83;+58 33 49.8;2.C/SE;2;C/SE;;;
{gamma} Cas;24801102;00 56 42.39;+60 43 00.0;1.NE;1;NE;;;
{[GHJ82]} SMC N76B K2;36001101;01 03 07.89;-72 06 27.6;7;7;;;G;
IRAS 01005+7910;68600302;01 04 45.70;+79 26 47.0;4.PUp:;4;PUp;1;;
Nova Cas 1995;77700106;01 05 05.39;+54 00 40.4;6;6;;;;
Nova Cas 1995;24800901;01 05 05.40;+54 00 40.5;6;6;;;;
Nova Cas 1995;59502003;01 05 05.40;+54 00 40.5;6;6;;;;
Nova Cas 1995;64500309;01 05 05.40;+54 00 40.5;6;6;;;;
Nova Cas 1995;83701909;01 05 05.40;+54 00 40.5;6;6;;;;
Nova Cas 1995;28301904;01 05 05.41;+54 00 40.8;6;6;;;;
Nova Cas 1995;65400106;01 05 05.43;+54 00 40.4;6;6;;;;
IRAS 01039-7305;17101710;01 05 31.50;-72 49 56.0;7;7;;;G;
IRAS 01039-7305;17101809;01 05 31.50;-72 49 56.0;7;7;;;G;
CIT 3;39502217;01 06 25.96;+12 35 53.1;3.SB;3;SB;;;
CIT 3;76101413;01 06 26.00;+12 35 53.0;3.SB;3;SB;;;
IRAS 01045+6505;85303602;01 07 50.67;+65 21 21.7;5.UE;5;UE;;;
{beta} And;79501002;01 09 43.77;+35 37 15.2;1.NO;1;NO;;;
{beta} And;42301404;01 09 43.86;+35 37 14.3;1.NO;1;NO;;;
{beta} And;44004605;01 09 43.86;+35 37 14.3;1.NO;1;NO;;;
HV Cas;43502472;01 11 03.10;+53 43 34.0;7;7;;;;
HV Cas;62902503;01 11 03.50;+53 43 40.3;2.CE;2;CE;;;
HR 365;41602312;01 16 11.90;+71 44 38.7;1.NO;1;NO;;;
AFGL 190;68800128;01 17 51.60;+67 13 53.6;4.CR;4;CR;;;
S Cas;41602133;01 19 42.03;+72 36 41.0;3.SEp;3;SEp;;;
Fairall 9;17902439;01 23 45.71;-58 48 20.5;7;7;;;G;
LHA 115-N 88;66300110;01 24 08.11;-73 09 03.1;5.M:;5;M;1;G;
R Scl;37801443;01 26 58.05;-32 32 34.2;2.CE;2;CE;;;
R Scl;56900115;01 26 58.09;-32 32 34.9;2.CE;2;CE;;;
R Scl;24701012;01 26 58.10;-32 32 34.9;2.CE;2;CE;;;
R Scl;37801213;01 26 58.10;-32 32 34.9;2.CE;2;CE;;;
R Scl;39901911;01 26 58.10;-32 32 34.9;2.CE;2;CE;;;
R Scl;41401514;01 26 58.10;-32 32 34.9;2.CE;2;CE;;;
{gamma} Phe;54901434;01 28 21.90;-43 19 05.2;1.NO;1;NO;;;
CE And;80104817;01 29 33.20;+46 39 33.0;2.SEc;2;SEc;;;
AFGL 230 -0.6, -6.3;44301870;01 33 50.60;+62 26 47.0;4.SA;4;SA;;Offset;
AFGL 230;78800604;01 33 51.20;+62 26 53.3;4.SA;4;SA;;(0,0);
{alpha} Eri;17902503;01 37 42.86;-57 14 12.1;1.N;1;N;;;
HR 483;42301707;01 41 46.98;+42 36 48.9;1.N:;1;N;1;;
NGC 660;63300301;01 43 02.30;+13 38 45.0;5.UE;5;UE;;G;
RMC 50;11501805;01 44 03.98;-74 40 49.6;7;7;;;G;
IRAS 01420+6401;61301076;01 45 39.58;+64 16 02.1;5.M:;5;M;1;;
SV Psc;80501620;01 46 35.30;+19 05 04.0;2.SEb;2;SEb;;;
WX Cas;43306112;01 54 04.20;+61 06 32.0;1.NO:;1;NO;1;;
V471 Per;28501652;01 58 49.70;+52 53 48.5;6;6;;;;
XX Per;61702401;02 03 08.77;+54 53 56.8;7;7;;;W;
{gamma}^1^ And;43502924;02 03 53.99;+42 19 47.2;1.NO;1;NO;;;
3C 58;84901201;02 05 38.20;+64 49 45.0;7;7;;;;
{alpha} Ari;45002411;02 07 10.26;+23 27 45.4;1.NO:;1;NO;1;;
WR 34;45701204;02 10 15.70;+56 33 32.7;2.SEa;2;SEa;;;
V Ari;80700751;02 15 00.10;+12 14 23.1;1.NM::;1;NM;2;;
O Cet;45101201;02 19 20.78;-02 58 36.2;2.SEc;2;SEc;;;
HD 14242;61301202;02 20 22.44;+59 40 17.6;2.SEa:;2;SEa;1;;
AD Per;45501603;02 20 29.00;+56 59 35.2;2.SEa:;2;SEa;1;;
AD Per;78800921;02 20 29.00;+56 59 35.2;2.SEap;2;SEap;;;
FZ Per;43306302;02 20 59.65;+57 09 29.9;2.SEa:;2;SEa;1;;
HD 14404;45501704;02 21 42.43;+57 51 46.2;2.SEap:;2;SEap;1;;
SU Per;43306303;02 22 06.93;+56 36 15.1;2.SEc;2;SEc;;;
RS Per;45501805;02 22 24.26;+57 06 34.4;2.SEc;2;SEc;;;
S Per;43306550;02 22 51.70;+58 35 14.1;3.SE;3;SE;;;
HD 14580;42701401;02 23 23.96;+57 12 41.9;1.NO:;1;NO;1;;
HD 14826;61601203;02 25 20.80;+57 26 15.0;2.SEa:;2;SEa;1;;
W 3 IRS 5;42701302;02 25 40.54;+62 05 51.3;5.SA;5;SA;;;
W 3 IRS 2;64600609;02 25 44.59;+62 06 11.2;5.UE;5;UE;;F;
W 3 IRS 2;78800709;02 25 44.59;+62 06 11.2;5.UE;5;UE;;;
IRAS Z02229+6208;44804704;02 26 41.80;+62 21 22.0;4.CT;4;CT;;;
Off-IRAS02229+6208;44804703;02 26 59.00;+62 22 22.0;7;7;;;;
RR Per;61702702;02 28 29.42;+51 16 18.6;2.SEa;2;SEa;;;
