# AOR, TDT, ang_sep (), cassis_index, sws_index
21788416,23200502,9.683969511351991,3431,25
9069568,24701422,8.963445194714112,6598,34
17505792,68600302,10.091857207255265,1830,49
22268416,77700106,9.173995006160268,4018,50
22268416,24800901,9.151258589598555,4018,51
22268416,59502003,9.151258589598555,4018,52
22268416,64500309,9.151258589598555,4018,53
22268416,83701909,9.151258589598555,4018,54
22268416,28301904,8.978172072375347,4018,55
22268416,65400106,9.396940950677656,4018,56
10661632,17101710,4.494310002074252,113,57
10661632,17101809,4.494310002074252,113,58
18505984,17902439,9.104975744635418,2228,70
28720896,17902439,9.786276430070545,5743,70
9070848,63300301,7.924278383248893,6602,84
19150848,11501805,9.7236959347416,2852,85
16014336,64900206,10.33758705045,1519,122
12609792,86300968,6.5632957901251165,540,130
18508800,79901510,8.633241530066114,2237,147
4850944,79901510,9.543854374148635,6157,147
8986880,66500410,10.290906982940315,6573,148
8986880,66500511,10.290906982940315,6573,149
21979904,83801755,8.275617691201958,3653,161
10959616,14800102,7.5888228426994075,197,173
11812096,14800210,9.906918625349418,430,178
12003328,14800210,9.99916609174595,448,178
12129792,14800210,9.858001059992606,478,178
13050368,14800210,8.53455025927017,757,178
13359872,14800210,9.138851069931418,806,178
9108736,14800210,8.335846622755744,6654,178
12939008,26601601,5.836801053535073,724,180
12939008,61802102,5.836801053535073,724,181
10964992,19001011,7.98770065106845,216,194
27084288,29801904,9.922384758585668,5380,195
6023168,62401512,8.733461439925707,6448,196
6023168,16401105,6.890539936858125,6448,197
13983232,81102402,9.865383428173368,860,212
20862720,70001308,5.700481479610465,3232,213
6076416,74901823,8.594236977004023,6457,215
11812352,62401303,5.810426373566475,431,219
12003584,62401303,8.304582262513728,449,219
15672064,62401303,4.73722387739836,1395,219
11812352,62804104,9.877003730771248,431,220
12003584,62804104,10.116742062893875,449,220
12130048,62804104,9.498544022354329,479,220
15672064,62804104,9.755663652278075,1395,220
16295936,62804104,9.610033073300336,1668,220
16702976,62804104,9.345184400850867,1724,220
8242944,62804104,8.719812243603654,6506,220
8568832,62804104,9.240767695834988,6546,220
8579328,62804104,8.64041465934804,6548,220
9858048,24900846,10.572255770950946,6727,291
16262656,24001729,8.363601046235448,1641,310
4929793,4001710,9.615481107252545,6188,312
4929793,18900244,8.695103323849969,6188,313
3754496,17201135,8.68376706683166,5944,325
9074176,7902231,10.416212144590386,6609,388
17741056,29701401,9.312270061946183,1935,416
17643008,19501504,8.969113898528128,1890,423
27691264,42200213,10.130388355619273,5625,451
27691264,42300201,10.130388355619273,5625,452
27691264,47600302,10.130388355619273,5625,453
27691264,57401003,10.130388355619273,5625,454
27691264,67600104,10.242914644183395,5625,455
27691264,11105149,10.46816981699994,5625,456
5197568,62803223,9.479818997649328,6335,468
22372864,28901607,1.8416176601449128,4048,475
23162624,11800205,8.506578029450917,4302,496
14492928,45902801,5.262872170694739,1057,505
16260864,28900125,9.277528236681162,1634,517
27580928,64701504,10.382154080349345,5569,518
27582976,62803102,8.498889259658391,5577,520
12700160,28902101,8.146395186407043,630,536
17501184,46000943,8.980483346763975,1813,549
17740800,46000601,8.405051401300703,1934,596
17501952,48700267,8.850379070157182,1816,607
12004352,30101147,9.475486547594715,450,626
12130560,30101147,9.412859408837878,480,626
13360384,30101147,8.845471095632966,807,626
9269760,30101147,8.919233253082178,6674,626
17056768,31101275,9.225000218694275,1753,630
17057024,31101275,8.6876725129034,1754,630
17058304,31101275,9.242001038543071,1755,630
17058560,31101275,9.48904622617306,1756,630
17681152,31101275,9.715965085003862,1905,630
17682688,31101275,9.503049574423507,1907,630
22259456,31101275,9.381293030302805,4004,630
22259968,31101275,9.692953968937383,4005,630
25193472,31101275,9.436133449999442,4612,630
25198592,31101275,9.42621121640825,4622,630
17740544,51501501,9.351549878076305,1933,632
17742336,51501501,8.585466152474604,1937,632
17742592,51501501,9.999520096834873,1938,632
22272768,51501501,9.271527600312995,4025,632
22273280,51501501,9.50974924800824,4026,632
12605184,2400910,8.03516488488016,537,668
12902400,2400910,4.030714895064646,678,668
13048320,2400910,3.675990416764398,755,668
13162496,2400910,7.700273112514155,765,668
13164544,2400910,7.886883830029199,767,668
15671808,2400910,7.377014679097601,1394,668
16463616,2400910,3.5227005145279437,1698,668
16702464,2400910,3.438508292335023,1722,668
8243456,2400910,2.9339814707819114,6507,668
12605184,2400714,8.07319686504911,537,669
12902400,2400714,4.075061916900863,678,669
13048320,2400714,3.722507598404778,755,669
13162496,2400714,7.737530741324949,765,669
13164544,2400714,7.924121510720412,767,669
15671808,2400714,7.34939681131074,1394,669
16463616,2400714,3.5705036715503744,1698,669
16702464,2400714,3.487463449421887,1722,669
8243456,2400714,2.9926264668912492,6507,669
12605184,2400807,8.07319686504911,537,670
12902400,2400807,4.075061916900863,678,670
13048320,2400807,3.722507598404778,755,670
13162496,2400807,7.737530741324949,765,670
13164544,2400807,7.924121510720412,767,670
15671808,2400807,7.34939681131074,1394,670
16463616,2400807,3.5705036715503744,1698,670
16702464,2400807,3.487463449421887,1722,670
8243456,2400807,2.9926264668912492,6507,670
12605184,2800908,8.07319686504911,537,671
12902400,2800908,4.075061916900863,678,671
13048320,2800908,3.722507598404778,755,671
13162496,2800908,7.737530741324949,765,671
13164544,2800908,7.924121510720412,767,671
15671808,2800908,7.34939681131074,1394,671
16463616,2800908,3.5705036715503744,1698,671
16702464,2800908,3.487463449421887,1722,671
8243456,2800908,2.9926264668912492,6507,671
12605184,3201202,8.07319686504911,537,672
12902400,3201202,4.075061916900863,678,672
13048320,3201202,3.722507598404778,755,672
13162496,3201202,7.737530741324949,765,672
13164544,3201202,7.924121510720412,767,672
15671808,3201202,7.34939681131074,1394,672
16463616,3201202,3.5705036715503744,1698,672
16702464,3201202,3.487463449421887,1722,672
8243456,3201202,2.9926264668912492,6507,672
17502464,46000275,8.620454386417839,1818,686
27571456,49301104,9.030443298163268,5544,688
34319872,56300507,7.7243013096078235,5853,723
4676096,17801806,9.59459722908573,6123,727
4676096,63501206,9.59459722908573,6123,728
21810688,13601739,9.769737029622249,3518,732
22064128,14901407,9.485275660639921,3838,742
22064128,29000211,9.485275660639921,3838,743
22064128,34300317,9.485275660639921,3838,744
22064128,47800222,9.485275660639921,3838,745
22064128,51301128,9.485275660639921,3838,746
22064128,67601733,9.485275660639921,3838,747
18144256,48301104,10.04818980770781,2085,769
18144256,48301110,10.04818980770781,2085,770
21884416,33402096,8.918761683164988,3596,815
21884416,68900196,8.918761683164988,3596,816
27687936,52000546,9.065635849315711,5624,844
10832128,11301301,8.771901256438811,151,849
10832384,11301301,8.952308593901199,152,849
10832640,11301301,9.075444852934483,153,849
10832896,11301301,9.112029181186077,154,849
14421248,11301301,9.117179564695281,1042,849
14421504,11301301,8.595104674259133,1043,849
14421760,11301301,8.899395071016185,1044,849
14422016,11301301,9.077096399757023,1045,849
10832128,47901101,8.771901256438811,151,850
10832384,47901101,8.952308593901199,152,850
10832640,47901101,9.075444852934483,153,850
10832896,47901101,9.112029181186077,154,850
14421248,47901101,9.117179564695281,1042,850
14421504,47901101,8.595104674259133,1043,850
14421760,47901101,8.899395071016185,1044,850
14422016,47901101,9.077096399757023,1045,850
17742848,49500503,9.02077070292552,1939,853
13734400,6001362,9.559263049251618,841,857
13776384,6001362,9.151926530076036,852,857
15333376,6001362,8.474971805065138,1350,857
15339520,6001362,8.441947956336907,1357,857
15877120,6001362,8.3091598898619,1418,857
16089856,6001362,8.623348376479163,1600,857
16094464,6001362,8.422113767730556,1603,857
16096768,6001362,8.787841247420404,1606,857
16293888,6001362,9.186130529499222,1666,857
16344064,6001362,8.982666532844808,1671,857
16460800,6001362,9.725055560865364,1694,857
16477184,6001362,9.596573940766081,1701,857
17208832,6001362,9.707853090528571,1780,857
17209856,6001362,9.525402258638238,1781,857
17210368,6001362,9.115438161042722,1782,857
17210880,6001362,9.330436174416334,1783,857
17211392,6001362,9.167325584348424,1784,857
17211904,6001362,9.590464109658974,1785,857
19318528,6001362,8.784138292696275,2870,857
19319808,6001362,8.789984081771903,2873,857
19388416,6001362,8.619019093794241,2877,857
19438080,6001362,8.206806842248122,2881,857
19507456,6001362,8.409786388439816,2884,857
19508992,6001362,8.167605518366162,2887,857
20075264,6001362,7.968764591439995,2912,857
20138496,6001362,8.391442337897399,2914,857
20139008,6001362,7.657335832106265,2915,857
20139520,6001362,8.209522910172208,2916,857
20140032,6001362,7.948329141614499,2917,857
20140544,6001362,8.436967318957652,2918,857
20409856,6001362,8.153793001189667,3010,857
20566016,6001362,8.55494956273957,3012,857
20592640,6001362,8.653970566736003,3024,857
20593152,6001362,8.847950677045032,3025,857
20593664,6001362,8.562117483628482,3026,857
20694016,6001362,8.617479428290963,3029,857
20702208,6001362,9.146277936502491,3037,857
20926464,6001362,9.669683288780146,3287,857
20957184,6001362,9.649852382858727,3301,857
22161664,6001362,9.302962113277824,3993,857
22165760,6001362,9.366145715052026,4000,857
23727616,6001362,8.498915027811474,4330,857
23997696,6001362,8.032525964469997,4339,857
24236800,6001362,8.156772824355514,4469,857
24240896,6001362,8.27714126597019,4473,857
24378880,6001362,8.385988343192814,4512,857
